location,bedrooms,bathrooms,area,price
F-10,5,6,32 Marla,138722401
F-10,5,5,20 Marla,99165073
Bahria Town,5,6,38 Marla,82130250
Bahria Town,3,4,11 Marla,30140672
G-13,5,5,35 Marla,92917765
Bahria Town,4,6,22 Marla,53471813
DHA Phase 2,8,10,40 Marla,122618346
DHA Phase 2,6,6,16 Marla,52429196
G-13,8,9,21 Marla,59569177
Bahria Town,3,3,14 Marla,37977516
G-13,8,8,35 Marla,90522702
Bahria Town,4,6,8 Marla,23128659
DHA Phase 2,7,7,31 Marla,99840652
G-13,6,6,34 Marla,86522486
Bahria Town,5,5,22 Marla,56502742
Bahria Town,9,9,22 Marla,57921107
DHA Phase 2,9,11,32 Marla,111792466
F-10,7,8,29 Marla,130715266
G-13,9,11,36 Marla,108901394
Bahria Town,8,10,19 Marla,51141836
Bahria Town,6,6,39 Marla,86629723
Bahria Town,4,4,15 Marla,39283143
G-13,4,6,33 Marla,90318015
Bahria Town,9,11,38 Marla,105540687
G-13,9,9,24 Marla,70946832
G-13,9,9,25 Marla,75009485
DHA Phase 2,7,7,15 Marla,57871901
Bahria Town,8,9,27 Marla,67322334
G-13,6,8,11 Marla,36259655
DHA Phase 2,6,6,20 Marla,62455680
Bahria Town,4,6,19 Marla,44806659
Bahria Town,6,8,38 Marla,97808669
G-13,6,8,24 Marla,72418240
G-13,5,5,34 Marla,99932557
G-13,5,7,28 Marla,81792687
G-13,4,5,13 Marla,36632264
DHA Phase 2,8,10,32 Marla,110883910
G-13,3,3,12 Marla,35630714
DHA Phase 2,8,9,37 Marla,119909879
Bahria Town,9,10,40 Marla,111041468
G-13,4,6,19 Marla,52141678
G-13,4,4,9 Marla,25990648
G-13,5,7,10 Marla,29960820
G-13,4,6,34 Marla,95512355
F-10,4,4,10 Marla,54479955
F-10,6,8,35 Marla,161607481
G-13,7,9,26 Marla,74558849
DHA Phase 2,6,8,9 Marla,37476721
Bahria Town,5,7,26 Marla,65828927
DHA Phase 2,4,6,9 Marla,35403711
DHA Phase 2,5,6,18 Marla,56693286
DHA Phase 2,4,4,11 Marla,41433708
F-10,4,5,10 Marla,51303768
F-10,3,5,11 Marla,48769020
Bahria Town,3,4,14 Marla,32642339
Bahria Town,4,5,7 Marla,21849697
F-10,7,8,34 Marla,173400511
Bahria Town,6,6,28 Marla,67731889
F-10,5,7,10 Marla,52002705
Bahria Town,6,6,31 Marla,71911060
DHA Phase 2,5,5,24 Marla,82644928
F-10,6,7,14 Marla,68170986
Bahria Town,5,6,9 Marla,29694163
F-10,9,11,16 Marla,83497073
F-10,9,11,30 Marla,136886832
G-13,6,8,33 Marla,97367422
G-13,4,4,34 Marla,85202321
F-10,8,10,25 Marla,113375096
G-13,4,6,16 Marla,45504386
Bahria Town,6,6,17 Marla,46762953
DHA Phase 2,5,6,15 Marla,52231504
Bahria Town,9,11,27 Marla,78630302
DHA Phase 2,6,6,36 Marla,119725613
F-10,4,6,16 Marla,84679485
F-10,5,5,7 Marla,42233264
G-13,8,9,16 Marla,50590439
G-13,8,8,34 Marla,105615772
Bahria Town,7,7,37 Marla,84158200
Bahria Town,7,9,19 Marla,48937278
DHA Phase 2,6,7,8 Marla,34461045
G-13,6,6,36 Marla,90795550
DHA Phase 2,8,8,31 Marla,99776307
DHA Phase 2,5,7,34 Marla,117171509
DHA Phase 2,9,10,25 Marla,82240622
DHA Phase 2,4,4,19 Marla,57243185
Bahria Town,6,8,30 Marla,70332489
Bahria Town,5,6,30 Marla,66784110
G-13,8,10,28 Marla,79590978
DHA Phase 2,8,10,34 Marla,120052660
G-13,2,4,5 Marla,15019447
F-10,8,10,21 Marla,117085236
Bahria Town,6,7,29 Marla,73761605
G-13,3,3,5 Marla,17530270
Bahria Town,9,11,38 Marla,95527445
Bahria Town,9,10,40 Marla,95751072
F-10,9,11,33 Marla,161845233
F-10,8,10,20 Marla,103144081
Bahria Town,7,8,28 Marla,75634800
Bahria Town,8,8,24 Marla,62832320
F-10,5,6,7 Marla,36863491
Bahria Town,3,5,8 Marla,21731606
G-13,6,8,34 Marla,95235516
F-10,5,7,23 Marla,104871116
DHA Phase 2,3,5,14 Marla,49661063
Bahria Town,5,7,32 Marla,73019278
DHA Phase 2,4,6,38 Marla,119978356
F-10,4,6,6 Marla,32416384
F-10,5,6,9 Marla,51864147
F-10,4,5,9 Marla,47666926
G-13,4,4,33 Marla,95802056
DHA Phase 2,8,9,35 Marla,116760337
F-10,7,7,38 Marla,190265888
G-13,7,8,22 Marla,60949804
Bahria Town,5,7,15 Marla,41057130
G-13,4,6,36 Marla,92298415
F-10,6,8,35 Marla,160579382
G-13,9,10,29 Marla,89763136
G-13,8,10,29 Marla,80972983
Bahria Town,4,5,6 Marla,19919797
Bahria Town,9,9,28 Marla,75857459
F-10,6,6,35 Marla,151124011
Bahria Town,4,5,20 Marla,47447831
DHA Phase 2,8,9,27 Marla,88041933
Bahria Town,8,10,34 Marla,83964153
F-10,4,5,25 Marla,114026066
G-13,8,9,16 Marla,48739046
F-10,4,5,15 Marla,70880852
DHA Phase 2,5,5,37 Marla,107263139
Bahria Town,4,6,6 Marla,20805079
G-13,6,7,40 Marla,112903226
DHA Phase 2,6,7,19 Marla,64776921
G-13,4,4,8 Marla,25682538
F-10,7,7,35 Marla,165438404
G-13,3,5,8 Marla,23679867
F-10,5,7,7 Marla,35450861
DHA Phase 2,9,10,31 Marla,105734934
F-10,6,8,15 Marla,71408685
Bahria Town,8,9,36 Marla,95385192
DHA Phase 2,6,6,35 Marla,114408807
Bahria Town,3,4,12 Marla,33794242
DHA Phase 2,4,4,36 Marla,114729640
Bahria Town,8,10,36 Marla,87508246
DHA Phase 2,7,8,30 Marla,93176392
F-10,4,6,10 Marla,51117998
F-10,8,8,23 Marla,106651558
DHA Phase 2,7,7,17 Marla,65965397
DHA Phase 2,6,6,33 Marla,98099142
G-13,6,8,20 Marla,56650518
Bahria Town,5,7,29 Marla,76941291
F-10,8,8,19 Marla,91907902
G-13,6,6,40 Marla,117476259
DHA Phase 2,9,10,19 Marla,68630262
F-10,9,11,25 Marla,133658920
DHA Phase 2,5,6,18 Marla,62784661
DHA Phase 2,6,6,35 Marla,107192999
F-10,4,6,11 Marla,52356532
F-10,5,5,25 Marla,112663704
G-13,4,4,16 Marla,42130885
F-10,4,6,37 Marla,157756847
G-13,7,9,28 Marla,82040490
G-13,5,5,25 Marla,68057234
F-10,5,5,23 Marla,117257488
F-10,3,4,13 Marla,69016075
Bahria Town,5,5,22 Marla,58608220
F-10,7,8,28 Marla,149553036
DHA Phase 2,3,3,5 Marla,20905846
F-10,4,5,14 Marla,68942070
G-13,9,11,36 Marla,111802713
Bahria Town,9,10,26 Marla,67281982
G-13,3,4,5 Marla,15843247
Bahria Town,6,6,40 Marla,104748186
F-10,5,5,14 Marla,70459157
G-13,5,6,35 Marla,89027316
DHA Phase 2,5,7,31 Marla,108823134
F-10,6,6,12 Marla,66811454
G-13,8,10,22 Marla,67791709
G-13,6,7,32 Marla,97658337
F-10,2,4,6 Marla,29682057
DHA Phase 2,5,7,8 Marla,31877864
G-13,5,5,23 Marla,66549038
DHA Phase 2,3,4,9 Marla,28954512
DHA Phase 2,6,7,10 Marla,35443611
DHA Phase 2,5,6,21 Marla,71398024
F-10,4,5,40 Marla,170397643
G-13,7,7,21 Marla,58036981
F-10,5,5,12 Marla,60149670
G-13,6,7,11 Marla,39042577
G-13,8,9,33 Marla,101170927
G-13,9,9,22 Marla,73366444
Bahria Town,6,7,16 Marla,43695561
DHA Phase 2,4,6,14 Marla,49108819
DHA Phase 2,4,6,36 Marla,107350979
DHA Phase 2,5,6,19 Marla,66439380
G-13,4,5,16 Marla,46188986
G-13,5,7,35 Marla,99356444
Bahria Town,4,4,31 Marla,75168191
F-10,7,7,31 Marla,148575017
Bahria Town,7,8,22 Marla,53379364
DHA Phase 2,4,5,34 Marla,112549152
G-13,6,8,25 Marla,72588402
G-13,4,6,10 Marla,30288838
Bahria Town,5,6,9 Marla,29803261
F-10,4,4,7 Marla,35767002
Bahria Town,5,7,12 Marla,33969963
DHA Phase 2,8,8,26 Marla,91393962
G-13,5,6,17 Marla,48541088
Bahria Town,4,6,13 Marla,33750490
F-10,5,6,38 Marla,191630722
G-13,6,6,30 Marla,76597686
F-10,6,8,27 Marla,142250332
G-13,6,6,24 Marla,73455180
DHA Phase 2,6,6,18 Marla,59404962
G-13,4,6,8 Marla,25784457
G-13,6,8,32 Marla,95644667
DHA Phase 2,8,9,21 Marla,74513516
G-13,5,5,7 Marla,23568781
DHA Phase 2,7,9,22 Marla,81729436
DHA Phase 2,5,6,27 Marla,88374746
Bahria Town,5,5,13 Marla,33001113
F-10,4,6,34 Marla,148574648
F-10,5,6,39 Marla,191915905
G-13,6,7,31 Marla,85285482
G-13,7,8,26 Marla,78008743
G-13,4,5,26 Marla,67287873
G-13,4,4,6 Marla,21348334
DHA Phase 2,3,3,7 Marla,24091859
DHA Phase 2,6,8,7 Marla,28300378
G-13,7,7,36 Marla,90736460
DHA Phase 2,4,4,40 Marla,122626751
DHA Phase 2,6,7,40 Marla,116673810
Bahria Town,9,10,31 Marla,81332464
G-13,5,5,36 Marla,105149373
Bahria Town,6,7,16 Marla,48601633
G-13,7,8,35 Marla,100316620
Bahria Town,3,5,8 Marla,20209542
F-10,5,6,39 Marla,198018223
Bahria Town,6,8,11 Marla,30862433
F-10,3,4,6 Marla,32980359
F-10,4,6,6 Marla,33315854
Bahria Town,6,6,40 Marla,99356308
F-10,8,9,16 Marla,80901235
G-13,7,8,20 Marla,57717269
DHA Phase 2,4,5,5 Marla,19530560
Bahria Town,5,7,7 Marla,23376811
F-10,5,6,20 Marla,106324453
G-13,8,8,16 Marla,56163351
Bahria Town,8,9,40 Marla,92869119
G-13,5,5,9 Marla,27237910
G-13,4,6,18 Marla,51100519
F-10,5,5,31 Marla,142891186
F-10,3,3,6 Marla,29961629
F-10,6,8,35 Marla,179133851
DHA Phase 2,4,6,11 Marla,42014978
Bahria Town,3,4,9 Marla,24743575
G-13,4,5,13 Marla,42289490
G-13,9,10,36 Marla,94574515
DHA Phase 2,6,7,7 Marla,30868793
DHA Phase 2,6,8,16 Marla,56768217
F-10,8,10,21 Marla,111897080
Bahria Town,8,10,27 Marla,64744551
G-13,9,11,32 Marla,85747058
G-13,5,6,14 Marla,45827829
Bahria Town,7,7,37 Marla,83041958
Bahria Town,5,5,23 Marla,57744372
G-13,4,5,6 Marla,20309938
F-10,8,10,32 Marla,151417341
G-13,5,6,40 Marla,112983520
Bahria Town,9,11,34 Marla,84191318
DHA Phase 2,6,8,17 Marla,59272810
Bahria Town,9,11,29 Marla,75322127
F-10,4,5,14 Marla,72602778
Bahria Town,6,6,36 Marla,94407271
DHA Phase 2,2,4,6 Marla,19191857
Bahria Town,4,4,39 Marla,99610201
DHA Phase 2,4,4,31 Marla,99407293
F-10,5,5,39 Marla,172306039
F-10,4,5,33 Marla,167433749
F-10,9,9,16 Marla,86624583
DHA Phase 2,9,11,21 Marla,81475849
G-13,9,11,23 Marla,66226784
F-10,4,5,29 Marla,129614149
F-10,5,7,15 Marla,68667735
G-13,8,9,38 Marla,104128187
DHA Phase 2,5,6,13 Marla,46402231
Bahria Town,6,7,15 Marla,39045188
F-10,9,9,20 Marla,98669545
F-10,4,5,10 Marla,46550271
G-13,4,4,8 Marla,25654736
DHA Phase 2,5,5,8 Marla,32452978
G-13,4,5,6 Marla,23019036
F-10,5,5,20 Marla,101545844
DHA Phase 2,9,9,24 Marla,89567341
G-13,4,4,8 Marla,26839667
F-10,4,5,5 Marla,26651680
DHA Phase 2,5,6,32 Marla,104826419
DHA Phase 2,3,5,13 Marla,47837990
DHA Phase 2,9,9,19 Marla,65482931
F-10,6,6,36 Marla,167925174
DHA Phase 2,9,10,19 Marla,75960547
Bahria Town,4,5,30 Marla,72613622
F-10,8,9,29 Marla,155600573
Bahria Town,9,9,32 Marla,90072192
F-10,4,5,16 Marla,85021560
G-13,6,8,35 Marla,87699809
F-10,2,4,5 Marla,25423064
F-10,5,6,35 Marla,160029616
Bahria Town,6,8,14 Marla,39166453
Bahria Town,5,5,27 Marla,60653121
Bahria Town,7,9,32 Marla,75991186
DHA Phase 2,4,6,39 Marla,118403090
F-10,6,6,24 Marla,116055292
Bahria Town,4,5,29 Marla,72288525
G-13,7,9,21 Marla,56845392
F-10,4,6,29 Marla,139361397
G-13,7,8,22 Marla,68608845
F-10,7,8,31 Marla,146455662
G-13,4,6,40 Marla,101116568
Bahria Town,8,10,33 Marla,90953991
G-13,6,7,12 Marla,42564415
Bahria Town,9,9,31 Marla,87273226
DHA Phase 2,4,4,6 Marla,25094595
G-13,8,10,27 Marla,73390062
F-10,9,9,24 Marla,126521842
G-13,3,5,12 Marla,37639690
Bahria Town,5,5,36 Marla,79985448
Bahria Town,5,6,38 Marla,88653846
G-13,5,7,22 Marla,67552818
G-13,6,8,37 Marla,100081101
DHA Phase 2,3,3,5 Marla,19687793
DHA Phase 2,5,7,37 Marla,109902182
DHA Phase 2,8,9,25 Marla,91188510
F-10,4,5,13 Marla,67950928
DHA Phase 2,8,9,39 Marla,133241755
Bahria Town,7,8,31 Marla,76326017
G-13,4,5,11 Marla,31028765
G-13,9,10,19 Marla,63001735
F-10,6,7,29 Marla,145849156
F-10,6,8,27 Marla,121828289
DHA Phase 2,5,7,13 Marla,45003668
Bahria Town,9,10,21 Marla,59799502
Bahria Town,8,8,24 Marla,63600175
Bahria Town,4,6,19 Marla,49156055
DHA Phase 2,6,7,37 Marla,111709582
G-13,6,7,30 Marla,87576781
G-13,5,6,11 Marla,34457597
Bahria Town,6,7,29 Marla,65962726
Bahria Town,9,11,26 Marla,72378049
F-10,8,10,28 Marla,138519326
Bahria Town,5,6,21 Marla,56617306
DHA Phase 2,4,6,29 Marla,99967983
F-10,8,8,18 Marla,89690230
DHA Phase 2,4,5,13 Marla,48233389
Bahria Town,3,5,11 Marla,26949761
G-13,9,11,37 Marla,98828131
Bahria Town,5,7,28 Marla,69772112
Bahria Town,6,8,20 Marla,55079349
DHA Phase 2,6,6,33 Marla,113803939
F-10,9,9,40 Marla,176121259
F-10,3,4,9 Marla,49173350
F-10,5,5,31 Marla,145605388
DHA Phase 2,9,11,29 Marla,109018861
G-13,8,10,27 Marla,74503090
F-10,6,7,36 Marla,171602692
G-13,3,4,11 Marla,30349134
DHA Phase 2,6,8,13 Marla,46990573
G-13,3,4,6 Marla,20507011
Bahria Town,6,7,8 Marla,25626516
F-10,4,6,9 Marla,46228670
F-10,4,4,36 Marla,160569210
G-13,4,4,22 Marla,58042209
Bahria Town,9,9,39 Marla,101883988
F-10,8,9,24 Marla,128342648
F-10,8,9,27 Marla,141125864
G-13,4,6,22 Marla,59166497
G-13,8,8,38 Marla,110990115
Bahria Town,5,7,27 Marla,66196509
F-10,8,8,26 Marla,120744534
F-10,5,5,13 Marla,66436298
F-10,6,6,23 Marla,122639941
DHA Phase 2,5,6,33 Marla,99735809
G-13,7,7,16 Marla,52426302
DHA Phase 2,6,8,23 Marla,81252500
G-13,4,5,22 Marla,62168908
F-10,8,8,15 Marla,78701743
G-13,6,8,11 Marla,33652494
Bahria Town,5,6,9 Marla,27920576
G-13,8,9,23 Marla,69822330
Bahria Town,5,6,23 Marla,54963104
F-10,4,6,6 Marla,31378881
DHA Phase 2,6,8,28 Marla,87041088
DHA Phase 2,9,10,36 Marla,131493079
DHA Phase 2,6,8,23 Marla,81866984
G-13,4,6,15 Marla,43586073
G-13,4,6,7 Marla,22314994
F-10,6,8,8 Marla,43908509
F-10,6,8,28 Marla,145763995
Bahria Town,5,6,35 Marla,89149329
F-10,6,6,29 Marla,129552395
F-10,4,5,8 Marla,43739155
G-13,4,5,21 Marla,59378487
F-10,8,8,31 Marla,161380266
Bahria Town,7,8,22 Marla,56340925
Bahria Town,3,5,8 Marla,22819422
DHA Phase 2,9,10,33 Marla,118960516
G-13,3,3,7 Marla,23520545
DHA Phase 2,6,6,34 Marla,107953800
DHA Phase 2,5,5,9 Marla,36930437
F-10,9,11,25 Marla,129801024
Bahria Town,7,9,38 Marla,96090576
G-13,4,5,23 Marla,65739037
Bahria Town,9,11,28 Marla,72352529
F-10,6,7,8 Marla,46798219
DHA Phase 2,2,2,6 Marla,20403757
DHA Phase 2,8,10,23 Marla,74089996
G-13,8,10,16 Marla,49557787
G-13,4,5,35 Marla,102086733
G-13,6,6,37 Marla,98381225
DHA Phase 2,6,7,37 Marla,127225635
Bahria Town,4,4,8 Marla,23548871
DHA Phase 2,8,10,39 Marla,138363392
F-10,4,6,39 Marla,180095379
Bahria Town,5,5,28 Marla,66600962
F-10,6,6,12 Marla,68151595
G-13,5,6,27 Marla,70247971
G-13,4,6,33 Marla,84601933
F-10,6,7,40 Marla,187566238
Bahria Town,4,4,40 Marla,91130242
G-13,7,9,20 Marla,62724934
Bahria Town,8,10,25 Marla,65264897
DHA Phase 2,9,11,31 Marla,117139721
Bahria Town,6,7,12 Marla,34284218
Bahria Town,9,10,38 Marla,89372447
F-10,5,7,20 Marla,97724872
Bahria Town,6,7,25 Marla,67896700
G-13,4,6,12 Marla,38165382
F-10,4,4,9 Marla,42050232
G-13,7,7,28 Marla,82486019
G-13,8,9,34 Marla,88284838
DHA Phase 2,4,4,21 Marla,64127251
G-13,4,5,33 Marla,94703391
F-10,9,10,23 Marla,120075287
G-13,7,8,31 Marla,81967202
DHA Phase 2,4,4,6 Marla,22059066
DHA Phase 2,6,7,28 Marla,87080434
G-13,5,5,18 Marla,50572596
Bahria Town,5,6,23 Marla,61455052
G-13,6,7,15 Marla,43215005
G-13,4,6,6 Marla,18947685
F-10,6,7,35 Marla,152312381
Bahria Town,4,6,5 Marla,17000439
G-13,2,3,5 Marla,16545664
F-10,5,7,8 Marla,43994484
DHA Phase 2,9,9,32 Marla,116767721
F-10,3,3,14 Marla,66433649
DHA Phase 2,8,10,17 Marla,66342962
F-10,5,5,11 Marla,60645664
F-10,5,5,12 Marla,64404036
Bahria Town,6,7,13 Marla,34066196
Bahria Town,6,6,37 Marla,84049512
F-10,8,8,20 Marla,110791425
F-10,8,10,30 Marla,153953048
DHA Phase 2,9,11,18 Marla,67386310
DHA Phase 2,6,7,23 Marla,74416443
DHA Phase 2,8,9,19 Marla,70485084
G-13,7,7,36 Marla,92749830
Bahria Town,5,7,29 Marla,65657630
DHA Phase 2,8,10,15 Marla,62419443
G-13,5,5,33 Marla,89066002
DHA Phase 2,4,6,29 Marla,95447700
G-13,7,8,31 Marla,83202085
DHA Phase 2,3,5,5 Marla,20634249
DHA Phase 2,3,3,10 Marla,32972919
DHA Phase 2,5,7,38 Marla,118467559
DHA Phase 2,9,9,20 Marla,69510779
DHA Phase 2,4,4,8 Marla,28688751
DHA Phase 2,7,7,21 Marla,71236575
F-10,5,5,22 Marla,100253741
DHA Phase 2,6,8,10 Marla,41950123
DHA Phase 2,9,11,40 Marla,129525364
G-13,2,3,6 Marla,19313952
F-10,4,6,10 Marla,50820523
F-10,5,7,7 Marla,35132839
DHA Phase 2,8,9,23 Marla,82915832
Bahria Town,3,5,8 Marla,23903631
G-13,7,8,20 Marla,60233278
G-13,9,9,29 Marla,86861597
Bahria Town,9,11,19 Marla,55887360
G-13,2,3,6 Marla,16795463
F-10,3,3,9 Marla,40874110
G-13,4,6,40 Marla,114148435
DHA Phase 2,5,5,30 Marla,93927441
Bahria Town,9,10,27 Marla,66636276
F-10,4,6,27 Marla,119311747
DHA Phase 2,8,9,16 Marla,57641757
G-13,5,5,14 Marla,39987185
F-10,4,6,32 Marla,162402898
F-10,6,8,39 Marla,177870813
G-13,4,5,22 Marla,61501412
Bahria Town,4,5,36 Marla,82525219
G-13,5,5,32 Marla,91481529
F-10,6,6,10 Marla,49186354
DHA Phase 2,7,9,23 Marla,76677755
Bahria Town,7,9,33 Marla,87851205
F-10,7,9,22 Marla,107499312
Bahria Town,5,6,15 Marla,39410713
G-13,7,9,23 Marla,68492716
F-10,6,6,9 Marla,51197401
DHA Phase 2,4,5,12 Marla,41981742
F-10,7,7,24 Marla,126791898
G-13,4,5,24 Marla,65736752
Bahria Town,8,8,26 Marla,66203379
DHA Phase 2,8,8,23 Marla,81468670
F-10,5,7,33 Marla,149434570
DHA Phase 2,6,6,9 Marla,34045983
DHA Phase 2,5,7,34 Marla,118975004
F-10,2,3,6 Marla,28495646
DHA Phase 2,6,8,29 Marla,102152621
G-13,4,6,6 Marla,20316732
Bahria Town,9,9,26 Marla,69054204
G-13,7,8,34 Marla,88173544
G-13,4,6,21 Marla,59344708
DHA Phase 2,4,5,17 Marla,62431552
G-13,3,3,10 Marla,31989020
Bahria Town,4,4,15 Marla,35217401
Bahria Town,4,5,10 Marla,25411188
DHA Phase 2,5,7,27 Marla,96801238
Bahria Town,4,5,11 Marla,31371738
F-10,5,7,18 Marla,80786767
Bahria Town,3,4,6 Marla,19384858
Bahria Town,4,5,35 Marla,77107300
F-10,4,6,21 Marla,106535357
DHA Phase 2,6,8,9 Marla,37882671
DHA Phase 2,7,9,38 Marla,124529399
DHA Phase 2,9,10,27 Marla,92362688
G-13,4,4,19 Marla,53208321
F-10,9,11,17 Marla,91820878
DHA Phase 2,5,6,16 Marla,54466987
DHA Phase 2,3,3,14 Marla,48030295
F-10,9,11,31 Marla,156861106
G-13,9,10,24 Marla,72349528
G-13,3,4,12 Marla,35290924
F-10,7,7,27 Marla,143918581
G-13,8,8,23 Marla,62733875
Bahria Town,3,3,5 Marla,15425508
DHA Phase 2,8,10,31 Marla,113412824
F-10,6,7,28 Marla,130905293
DHA Phase 2,6,7,10 Marla,38535682
DHA Phase 2,4,5,18 Marla,63781632
DHA Phase 2,3,4,8 Marla,28687720
Bahria Town,4,4,34 Marla,76102769
Bahria Town,5,5,12 Marla,31345379
DHA Phase 2,6,6,37 Marla,111009386
DHA Phase 2,9,9,30 Marla,110811121
F-10,4,5,40 Marla,181126811
DHA Phase 2,7,7,26 Marla,80936336
F-10,4,4,15 Marla,75928956
F-10,4,5,30 Marla,154590958
G-13,5,7,32 Marla,92676812
DHA Phase 2,7,8,21 Marla,80212370
DHA Phase 2,6,7,20 Marla,67975370
Bahria Town,8,10,15 Marla,48823221
Bahria Town,9,10,29 Marla,80141810
F-10,7,9,21 Marla,99090888
G-13,8,10,39 Marla,104953157
DHA Phase 2,5,5,7 Marla,29006070
F-10,7,7,40 Marla,188865714
G-13,9,11,16 Marla,51579060
F-10,6,8,34 Marla,172812643
F-10,6,7,32 Marla,156021212
DHA Phase 2,7,7,24 Marla,81848988
Bahria Town,7,9,29 Marla,79003964
G-13,8,9,26 Marla,84045812
DHA Phase 2,5,6,37 Marla,125544939
F-10,9,9,20 Marla,104547596
DHA Phase 2,4,5,21 Marla,65082188
DHA Phase 2,4,5,9 Marla,31518213
G-13,8,9,20 Marla,64197970
DHA Phase 2,9,10,20 Marla,75611431
F-10,7,9,22 Marla,107798866
Bahria Town,4,6,40 Marla,98470058
DHA Phase 2,3,5,14 Marla,47850067
F-10,6,7,7 Marla,40238256
F-10,6,8,28 Marla,125807348
F-10,5,6,38 Marla,176187196
DHA Phase 2,7,8,31 Marla,97690545
G-13,7,8,23 Marla,62235909
DHA Phase 2,8,9,29 Marla,107963017
Bahria Town,5,7,25 Marla,63394064
Bahria Town,4,4,8 Marla,25723281
F-10,5,6,20 Marla,89299196
Bahria Town,5,6,23 Marla,60470458
G-13,7,9,28 Marla,88458987
G-13,5,6,24 Marla,68060528
G-13,4,6,15 Marla,40892453
F-10,5,6,19 Marla,100145675
DHA Phase 2,8,10,34 Marla,114217925
Bahria Town,8,10,40 Marla,105285759
G-13,9,9,39 Marla,104498806
G-13,2,2,6 Marla,18064823
Bahria Town,7,7,32 Marla,73882609
DHA Phase 2,4,5,34 Marla,97563555
G-13,5,5,14 Marla,45025615
DHA Phase 2,9,9,39 Marla,118257835
DHA Phase 2,8,10,36 Marla,110088185
F-10,4,6,39 Marla,175717118
DHA Phase 2,5,5,33 Marla,101219686
G-13,6,7,7 Marla,28124428
DHA Phase 2,7,7,18 Marla,60086655
DHA Phase 2,9,9,30 Marla,106482175
DHA Phase 2,4,5,12 Marla,40258447
Bahria Town,6,7,29 Marla,77514344
Bahria Town,6,6,32 Marla,72664079
F-10,3,3,6 Marla,30814441
F-10,7,9,38 Marla,182615087
Bahria Town,5,6,38 Marla,93654710
Bahria Town,9,9,17 Marla,47119241
DHA Phase 2,4,4,5 Marla,20984523
F-10,8,8,18 Marla,95339080
F-10,5,7,34 Marla,145072280
F-10,8,8,27 Marla,122274332
Bahria Town,7,7,25 Marla,59145364
DHA Phase 2,3,5,14 Marla,43882638
F-10,8,10,19 Marla,93824948
Bahria Town,5,7,11 Marla,31344258
Bahria Town,4,6,29 Marla,63654176
DHA Phase 2,5,6,11 Marla,39947693
F-10,8,8,17 Marla,80952118
DHA Phase 2,4,6,31 Marla,102659077
Bahria Town,3,3,14 Marla,36276434
G-13,7,9,38 Marla,111829803
G-13,6,8,20 Marla,54408621
F-10,6,8,11 Marla,58843299
DHA Phase 2,4,5,10 Marla,35895711
F-10,8,8,21 Marla,99526553
Bahria Town,3,3,7 Marla,20444374
F-10,4,6,14 Marla,70646939
G-13,4,5,10 Marla,29016358
Bahria Town,8,10,27 Marla,69727642
DHA Phase 2,9,11,31 Marla,99610286
Bahria Town,6,8,26 Marla,70729536
Bahria Town,7,8,21 Marla,51382618
DHA Phase 2,5,7,25 Marla,84196145
F-10,2,3,5 Marla,27332334
DHA Phase 2,8,10,23 Marla,75643705
G-13,6,6,10 Marla,31528061
Bahria Town,4,5,29 Marla,76325487
Bahria Town,4,5,21 Marla,52851377
DHA Phase 2,8,10,24 Marla,87192393
DHA Phase 2,8,10,33 Marla,103672312
G-13,8,8,16 Marla,56111283
F-10,7,7,35 Marla,166483804
Bahria Town,9,9,27 Marla,80083728
F-10,6,7,8 Marla,48096341
Bahria Town,3,4,14 Marla,37547634
DHA Phase 2,4,5,12 Marla,40036862
F-10,8,10,21 Marla,109585158
Bahria Town,3,5,7 Marla,18170781
DHA Phase 2,3,3,11 Marla,38947195
DHA Phase 2,6,6,30 Marla,99167464
DHA Phase 2,6,6,12 Marla,42774124
Bahria Town,4,5,31 Marla,81036788
G-13,3,4,7 Marla,21167611
DHA Phase 2,6,7,16 Marla,60870080
Bahria Town,8,9,15 Marla,46800907
Bahria Town,6,8,12 Marla,31957316
G-13,4,6,30 Marla,83540672
F-10,5,6,12 Marla,56758016
F-10,6,6,9 Marla,45504881
DHA Phase 2,8,8,35 Marla,113304009
DHA Phase 2,4,6,14 Marla,47579157
F-10,5,6,10 Marla,47633727
F-10,6,8,16 Marla,78322198
DHA Phase 2,4,5,33 Marla,108412610
DHA Phase 2,5,7,28 Marla,87290123
G-13,7,8,36 Marla,103857784
G-13,5,7,7 Marla,24900988
F-10,9,9,36 Marla,187232611
DHA Phase 2,7,8,38 Marla,136776762
Bahria Town,5,7,18 Marla,50416875
F-10,5,6,35 Marla,154532670
F-10,4,6,39 Marla,170096407
G-13,6,8,7 Marla,23863842
G-13,6,7,39 Marla,112255250
Bahria Town,6,7,7 Marla,22009509
DHA Phase 2,8,8,20 Marla,69472809
DHA Phase 2,6,6,17 Marla,64202476
DHA Phase 2,8,9,21 Marla,71457592
F-10,4,5,40 Marla,195540000
G-13,8,10,32 Marla,96513964
DHA Phase 2,6,6,7 Marla,31613157
Bahria Town,4,6,16 Marla,41663694
G-13,5,5,17 Marla,48008768
DHA Phase 2,6,8,9 Marla,38844320
Bahria Town,7,8,28 Marla,72851106
G-13,6,8,25 Marla,66005552
Bahria Town,3,5,7 Marla,21679632
G-13,7,9,26 Marla,74344106
F-10,9,10,38 Marla,197323732
Bahria Town,4,6,39 Marla,95568039
